	ABSTRACT OF THE METEOROLOGICAL JOURNAL KEPT																						
	"ON BOARD HIS MAJESTY'S SHIP, HECLA, FROM"																						
	JUNE 1824 TO SEPTEMBER 1825																						
																	TEMP IN SHADE 			SEA WATER			
YEAR	MONTH	DAY 	LAT (N)	LONG (W)	BAROMETER												REGISTERED EVERY 2 HOURS			AT SURFACE			
			1200	1200	300	400	500	900	1000	1100	1500	1600	1700	2100	2200	2300	MAX	MIN	MEAN	MAX	MIN	MEAN	
1825	3	26			30.388	30.381	30.380	30.365	30.351	30.358	30.334	30.322	30.323	30.295	30.292	30.231	-20.0	-29.0	-23.9				
1825	3	27			30.265	30.267	30.247	30.203	30.199	30.192	30.176	30.166	30.168	30.120	30.122	30.122	-9.0	-27.0	-18.0				
1825	3	28			30.122	30.185	30.125	30.132	30.126	30.128	30.104	30.105	30.090	30.079	30.077	30.056	-13.0	-32.0	-22.8				
1825	3	29			30.069	30.067	30.074	30.084	30.078	30.076	30.106	30.098	30.108	30.118	30.112	30.108	-18.0	-30.0	-23.4				
1825	3	30			30.115	30.114	30.119	30.105	30.094	30.082	30.066	30.042	30.035	30.025	30.025	30.031	-16.0	-32.0	-24.9				
1825	3	31			30.037	30.056	30.066	30.084	30.083	30.083	30.093	30.092	30.090	30.068	30.069	30.066	-21.0	-35.0	-28.7				
	MEAN				30.101	30.110	30.109	30.110	30.104	30.103	30.110	30.111	30.108	30.108	30.105	30.103	-9.0	-47.5	-28.4				
					30.104	30.112	30.108	30.111	30.104	30.103	30.110	30.111	30.109	30.108	30.103	30.100	-21.435	-35.156	-28.376				
1825	4	1	PORT	BOWEN	30.049	30.047	30.035	30.038	30.024	30.015	30.010	29.998	29.988	29.966	29.967	29.957	-20.0	-37.0	-29.6				
1825	4	2			29.941	29.943	29.938	29.907	29.901	29.889	29.881	29.879	29.875	29.853	29.842	29.838	-17.0	-36.0	-27.8				
1825	4	3			29.826	29.828	29.812	29.768	29.754	29.749	29.732	29.730	29.729	29.726	29.709	29.702	-11.0	-31.0	-23.1				
1825	4	4			29.710	29.728	29.726	29.732	29.728	29.731	29.768	29.771	29.776	29.812	29.814	29.820	-11.5	-34.0	-23.7				
1825	4	5			29.849	29.857	29.867	29.907	29.908	29.908	29.965	29.973	29.986	30.031	30.031	30.034	-17.5	-36.0	-28.5				
1825	4	6			30.068	30.085	30.087	30.085	30.098	30.090	30.104	30.104	30.096	30.081	30.072	30.062	-19.0	-36.0	-28.3				
1825	4	7			30.048	30.053	30.040	30.030	30.029	30.033	30.032	30.038	30.038	30.053	30.056	30.058	-12.0	-35.0	-25.0				
1825	4	8			30.101	30.117	30.127	30.174	30.166	30.177	30.209	30.215	30.223	30.243	30.243	30.245	-11.0	-29.0	-20.9				
1825	4	9			30.247	30.266	30.262	30.248	30.249	30.242	30.236	30.224	30.227	30.227	30.230	30.228	-9.5	-26.0	-16.8				
1825	4	10			30.240	30.241	30.244	30.245	30.243	30.244	30.227	30.216	30.215	30.168	30.132	30.119	-6.0	-19.0	-10.7				
1825	4	11			30.126	30.119	30.140	30.184	30.177	30.187	30.233	30.237	30.242	30.260	30.251	30.253	8.0	-5.0	2.5				
1825	4	12			30.223	30.216	30.214	30.185	30.165	30.151	30.101	30.088	30.081	30.071	30.065	30.060	19.0	5.0	12.3				
1825	4	13			30.030	30.029	30.016	30.027	30.014	30.030	30.043	30.054	30.066	30.068	30.060	30.055	4.5	-11.0	-1.4				
1825	4	14			30.082	30.095	30.101	30.106	30.100	30.111	30.152	30.150	30.157	30.159	30.154	30.150	-6.0	-14.0	-9.5				
1825	4	15			30.148	30.146	30.137	30.110	30.101	30.123	30.102	30.089	30.084	30.066	30.053	30.042	-5.0	-14.0	-10.4				
1825	4	16			30.055	30.062	30.051	30.064	30.066	30.063	30.096	30.106	30.107	30.126	30.122	30.120	11.0	-17.0	-1.8				
1825	4	17			30.128	30.142	30.135	30.141	30.133	30.126	30.130	30.138	30.157	30.166	30.151	30.161	11.0	-14.0	-2.9				
