,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vessel and Vessel Movements,,,,,,,,,Wind,,,,,Current,,Data Characteristics,,,,
Start Date,Time of reading,Image Numbers,Document Title,Vessel,Ship Type,Owner of Port of Registry,Vessel Movements,Latitude ,Longitude ,Barometer,Air Temperature,Water Temperature,Direction,Force,Course,Distance,Distance by Log,Direction,Drift,Meteorology,Oceanography,Confirmed Sea Ice Observations,Other data,Notes
16/05/1947,18:00,1983_011_0003_0042,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,76,79.2,S.S.E.,3,,,,,,,,,,
17/05/1947,06:00,1983_011_0003_0044,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,76.5,79,S.S.E.,2,,,,,,,,,,
17/05/1947,Noon,1983_011_0003_0044,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.54S,89.46W,,,,,,270,40.2,38,S.E.,2.2,,,,,
17/05/1947,18:00,1983_011_0003_0044,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,76,79,S.S.E.,4,,,,,,,,,,
18/05/1947,06:00,1983_011_0003_0046,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,76.5,79.5,S.S.E.,3,,,,,,,,,,
18/05/1947,Noon,1983_011_0003_0046,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.54S,90.30W,,,,,,270,44,44,,,,,,,
18/05/1947,18:00,1983_011_0003_0046,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,76.5,79.8,S.S.E.,4,,,,,,,,,,
19/05/1947,06:00,1983_011_0003_0048,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,74.5,80,S.S.E.,3,,,,,,,,,,
19/05/1947,Noon,1983_011_0003_0048,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.44S,91.29W,,,,,,270,59.8,44,E.,15.8,,,,,
19/05/1947,19:00,1983_011_0003_0048,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.5,76.5,80,S.S.E.,2,,,,,,,,,,
20/05/1947,06:00,1983_011_0003_0050,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.5,76,79.5,S.S.E.,2,,,,,,,,,,
20/05/1947,Noon,1983_011_0003_0050,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,7.44S,92.10W,,,,,,270,35,35,,,,,,,
