ALBERT 1 1898 CRUISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PARIS,PARIS,,,,,,,Greenwich,,,,,,,,,,,,,,
YEAR,MONTH,DAY,HOUR,Latitude °,Latitude ',Longitude °,Longitude ',PRESSURE mm,"PRESSURE """,PRESSURE hPa,add SG,REMARKS,Latitude,Longitude,,Sond T°C 100m,Sond T°C 210m,Sond T°C 300m,Sond T°C 410m,,,,,,,,,
1898,8,2,800,,,,,755.8,,1007.65,,,,,,,,,,,,,,,,76.6666666666667,",",26.3135879666667
1898,8,2,1200,77,58,16,55,756.2,,1008.18,,,77.9666666666667,19.5135879666667,,,,,,,,,,,,,",",
1898,8,2,1430,76,45,23,20.25,,,,,,76.75,23.3375,,,,,,,,,,,,,",",
1898,8,2,1600,,,,,756.2,,1008.18,,,,,,,,,,,,,,,,,",",
1898,8,2,1720,76,49,22,54.25,,,,,,76.8166666666667,22.9041666666667,,,,,,,,,,,,,",",
1898,8,2,2000,,,,,756.6,,1008.72,,,,,,,,,,,,,,,,77.9666666666667,",",19.5135879666667
1898,8,3,100,,,,,755.9,,1007.78,,,,,,,,,,,,,,,,76.75,",",23.3375
1898,8,3,800,,,,,755.8,,1007.65,,,,,,,,,,,,,,,,,",",
1898,8,3,1200,77,58,16,55,756.2,,1008.18,1010.56,Dans Stor Fjord,77.9666666666667,19.5135879666667,,,,,,,,,,,,76.8166666666667,",",22.9041666666667
1898,8,3,1412,78,8.66666667,17,5,,,,,Fond a 94 metres       Fond=-1.4; 3.4m=-0.1; 10m=2.1; 23m=0.3; 50m=-0.2; 70m=-1.2,78.1444444445,19.6802546333333,,,,,,,,,,,,,",",
1898,8,3,1545,78,9,19,25.25,,,,,,78.15,19.4208333333333,,,,,,,,,,,,,",",
1898,8,3,1600,,,,,756.2,,1008.18,,,,,,,,,,,,,,,,,",",
1898,8,3,2000,,,,,756.6,,1008.72,,,,,,,,,,,,,,,,77.9666666666667,",",19.5135879666667
1898,8,4,,,,,,,,,,,,,,,,,,,,,,,,78.1444444445,",",19.6802546333333
1898,8,5,600,,,,,758,,1010.58,,,,,,,,,,,,,,,,78.15,",",19.4208333333333
1898,8,6,800,,,,,758,,1010.58,,,,,,,,,,,,,,,,,",",
1898,8,6,1200,77,55,18,50,757,,1009.25,1011.63,Dans Stor Fjord,77.9166666666667,21.4302546333333,,,,,,,,,,,,,",",
1898,8,6,1600,,,,,757,,1009.25,,,,,,,,,,,,,,,,,",",
1898,8,6,2000,,,,,755.2,,1006.85,,,,,,,,,,,,,,,,,",",
1898,8,6,2400,,,,,755.2,,1006.85,,,,,,,,,,,,,,,,,",",
1898,8,7,800,,,,,756,,1007.92,,,,,,,,,,,,,,,,77.9166666666667,",",21.4302546333333
1898,8,7,1000,76,56,11,20.25,,,,,,76.9333333333333,11.3375,,,,,,,,,,,,,",",
1898,8,7,1200,76,56,9,0,756.6,,1008.72,1011.06,,76.9333333333333,11.5969213,,,,,,,,,,,,,",",
