	"William Wales - Journal on the Resolution, 21 June 1772-17 Oct. 1774"														
															

YEAR	MONTH	DAY	OBS	OBS	BAR 1	BAR 2	THER. A	THER. B							
			LAT	LONG	NOON	NOON	NOON	NOON							
1772	7	13		4 51 W	30.16	30.42	64.0	64.0							
		7	17 32.3	203 57	29.85	30.10	80.0	80.3
		8	17 38.4	203 19	29.75	30.00	80.5	81.0
		9	17 48	202 39	29.75	30.15	76.5	77.8
		10	17 55.3	201 58	29.95	30.10	78.0	77.5
		11	18 10.2		30.00	30.20	75.5	75.0
		12	18 45.3	198 12.5			77.5	80.0
		13	18 35.3	197 58.15	29.85	30.15	76.0	75.5
		14	18 27	197 58	30.00	30.20	77.0	75.5
		15	18 11.2	197 49.4	30.00	30.20	75.5	75.5
		16	18 2.8	196 10.3	30.05	30.20	75.0	75.0
		17		194 43	30.00	30.25	76.0	76.8
		18	18 24.9	192 35.4	29.95	30.15	75.5	77.0
		19	18 49.4	190 47.3	30.00	30.20	77.0	77.5
		20	18 57	190 28	30.00	30.10	75.0	78.0
		21	19 23.1	189 57	30.00	30.15	78.3	77.5
		22	19 49.3	188 53.3	29.90	30.25	78.0	77.5
		23	20 24.3	187 56	30.10	30.15	79.0	79.0
		24	20 20	186 24	30.00	30.25	78.0	77.5
		25	20 23	186 1.4	30.00	30.20	75.5	75.0
		29	19 51.2		30.05	30.20	75.5	75.8
		30	19 34	182 52.3	30.10	30.25	74.0	75.0
	7	1	20 3.3	181 52.4	30.00	30.30	72.0	72.0
		2	19 47	181 56	30.10	30.20	73.5	74.0
		3	20 4.5	181 48.2	30.05	30.20	76.0	75.5
		4	20 38.3	180 33.3	30.05	30.10	76.0	75.6
		5	20 55.4	179 23.1	30.10	30.20	76.0	76.5
		6	20 50.3	178 31			76.5	77.0
		7	20 41.5	177 25.4	30.00	30.20	77.5	78.0
		8	20 23.3	176 28.4	29.80	30.00	78.0	78.0
		9	19 53.1	175 39.2	29.80	30.05	74.5	74.8
		10	18 26.2	175 7.1	29.70	30.10	74.0	74.0
		11	17 20.2	174 18.5	29.75	30.15	76.0	76.0
		12	16 25.4	173 25	29.80	30.15	75.6	76.0
		13	15 39.15	172 24	29.95	30.10	77.5	78.0
		14	15 9.15	171 26.15	29.95	30.10	78.8	79.7
		15	15 5	169 18.5	29.90	30.15	76.5	79.3
		16			29.90	30.20	78.3	78.5
		17	15 01	168 10	29.95	30.15	78.5	76.5
		18	15 12.3	168 16	29.95	30.10	76.8	76.5
		19	15 28.5	168 24	30.05	30.20	74.5	75.0
		20	16 17.2	167 9	29.95	30.10	76.0	77.0
		23			29.95	30.05	80.0	79.5
		24	17 18.2	168 53	30.00		79.0	80.5
		25	17 31	168 52	29.90	30.10	78.5	78.5
		26	18 00	169 42	29.95	30.05	75.0	74.0
		27	18 24.5	169 30.15	29.95	30.10	71.5	71.5
		28	18 30.1	170 15.3	29.90	30.10	73.0	74.0
		29	18 33.3	169 49.15	30.00	30.10	72.5	72.7
		30	18 21	169 20.2	30.05	30.15	75.0	81.0
		31	18 32.15	169 00	30.05	30.20	74.0	75.0
	8	1	18 46	169 10	30.05	30.15	78.0	78.5
		2	18 26.3	169 17	30.00	30.20	76.5	74.0
		4			29.89		76.0	78.0
		20	19 33.4	170 29	30.05	30.25	72.0	73.5
		21	18 18.6	169 11.5	30.05	30.20	72.5	75.3
		22	16 23.1	168 00	30.00	30.20	74.5	73.7
		23	15 23.2	167 57.1				
		24	14 55.1	167 30.4	30.00	30.20	79.3	81.5
