	S.M.S. PLANET 1906/1907							

Pg. 3								

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	TEMP (C)	SST
			1600			762.0	20.6	21.0
			2000			763.3	20.0	20.9
			2400			762.8	19.8	20.5
		2	400			762.9	19.8	20.8
			800			763.5	20.3	19.1
			1200	29 19	14 30	763.0	20.5	20.0
			1600			763.0	20.0	20.8
			2000			763.0	18.9	20.6
			2400			763.0	18.3	20.6
		3	400			761.5	18.0	19.0
			800			762.0	18.9	19.5
			1200	31 39	16 17	762.6	20.8	20.0
			1600			761.6	21.0	20.0
			2000			762.7	17.7	19.4
			2400			760.6	17.7	
		4	400			762.7	13.3	
			800			762.7	14.0	15.0
			1200	33 40	18 4	763.7	14.8	15.2
			1600			764.9	16.1	
			2000			765.6	15.1	15.9
			2400			766.1	14.7	15.5
		14	1200	33 54	18 26	767.3	18.0	
			1600			765.7	15.1	13.2
			2000			764.7	17.3	13.4
			2400			766.5	17.8	13.0
		15	400			765.0	17.1	17.6
			800			764.3	16.6	19.4
			1200	35 51	18 30	765.1	18.0	20.1
			1600			763.4	18.0	18.0
			2000			763.5	16.3	16.5
			2400			761.7	17.8	16.0
		16	400			759.1	17.5	18.8
			800			756.9	18.1	18.7
			1200	38 27	19 8	755.5	16.0	20.8
			1600			757.3	14.7	20.8
			2000			759.2	11.8	18.0
			2400			761.2	10.8	16.9
		17	400			761.8	10.6	18.2
			800			764.5	11.8	19.6
			1200	39 57	20 7	765.2	11.1	18.8
			1600			766.1	12.7	19.2
			2000			766.9	10.5	13.1
			2400			768.3	10.3	12.7
		18	400			767.5	10.9	13.8
			800			768.1	11.1	15.6
			1200	41 11	21 57	767.2	12.9	15.0
			1600			765.9	12.7	14.0
			2000			763.2	12.7	14.0
			2400			759.0	14.5	15.0
		19	400			757.6	15.2	14.7
			800			753.9	11.4	11.1
			1200	43 16	23 10	752.9	12.1	10.6
			1600			754.0	11.1	12.2
			2000			755.2	9.8	9.8
			2400			751.7	9.3	10.0
		20	400			751.1	8.8	9.1
			800			751.7	8.5	9.1
			1200	45 30	25 3	750.1	7.0	7.4
			1600			750.0	5.5	5.9
			2000			749.6	4.8	5.9
			2400			746.8	3.8	6.4
		21	400			745.9	2.4	5.5
			800			751.1	3.5	3.4
			1200	47 32	26 50	751.1	4.0	4.0
			1600			747.2	4.3	4.0
			2000			740.7	7.1	7.2
			2400			739.6	7.1	7.1
		22	400			738.4	6.5	5.4
			800			738.6	5.0	3.3
			1200	49 31	29 16	737.9	3.0	3.3
			1600			736.0	4.2	2.6
			2000			732.6	2.1	2.3
			2400			730.5	3.7	2.8
		23	400			728.4	3.1	3.1
			800			729.0	2.6	3.5
			1200	50 34	30 41	731.7	3.0	3.5
			1600			732.9	3.0	4.4
			2000			734.9	3.1	5.2
			2400			738.0	2.9	5.2
		24	400			740.1	1.5	4.8
			800			741.7	0.2	2.8
			1200	48 45	33 32	743.5	3.2	3.5
			1600			744.4	2.2	3.0
			2000			745.0		4.9
			2400			747.0	2.3	5.7
		25	400			747.5	2.5	5.0
			800			749.0	3.1	5.5
			1200	47 7	35 42	750.6	5.3	6.2
			1600			752.8	4.0	5.8
			2000			755.3	2.3	5.3
			2400			757.0	2.9	6.2
		26	400			759.4	2.3	6.2
			800			761.0	3.4	7.0
			1200	44 51	33 22	764.0	6.3	7.5
			1600			765.1	5.5	7.6
			2000			766.6	5.3	7.5
			2400			768.2	5.5	9.9
		27	400			768.3	6.6	9.5
			800			769.6	7.6	10.3
			1200	42 58	31 5	768.5	8.2	8.8
			1600			766.9	10.0	10.0
			2000			763.2	9.9	10.2
			2400			763.2	9.6	11.2
		28	400			761.2	12.5	11.0
			800			763.9	13.5	10.6
			1200	41 59	31 8	762.3	13.6	12.0
			1600			764.9	13.7	11.4
			2000			765.2	12.5	14.6
			2400			766.3	14.8	15.2
		29	400			767.9	14.8	16.0
			800			767.9	16.0	14.8
			1200	39 25	31 44	767.6	17.0	15.2
			1600			766.7	17.3	16.2
			2000			767.1	16.1	15.5
			2400			767.6	16.5	15.3
		30	400			767.3	16.8	15.8
			800			769.0	18.1	16.0
			1200	38 9	32 22	768.7	17.8	16.4
			1600			768.5	19.5	16.5
			2000			768.7	18.2	
			2400			768.2	19.1	17.0
	5	1	400			768.9	19.4	19.0
			800			769.1	19.6	19.0
			1200	36 51	32 58	767.9	20.9	19.4
			1600			766.1	20.0	19.5
			2000			765.5	20.1	19.3
			2400			765.0	20.0	19.4
		2	400			764.9	20.1	19.2
			800			765.2	20.5	19.8
			1200	35 22	32 0	764.0	21.3	20.0
			1600			761.8	21.3	19.9
			2000			762.5	21.3	20.0
			2400			764.8	21.3	20.0
		3	400			765.3	21.8	19.9
			800			763.4	22.6	22.0
			1200	33 32	32 10	763.5	22.6	22.0
			1600			762.6	22.2	21.4
			2000			763.5	21.6	21.5
			2400			763.6	22.0	21.4
		4	400			763.0	22.0	21.5
			800			764.0	20.0	22.2
			1200	31 20	32 9	762.8	24.4	22.8
			1600			760.0	24.7	23.8
			2000			758.9	23.2	23.6
			2400			758.8	24.5	23.4
		5	400			758.6	21.6	23.3
			800			760.8	22.1	21.5
			1200	Durban		761.0	23.2	22.4
			1600			761.7	24.7	23.5
			2000			763.4	22.0	23.6
			2400			764.0	20.3	23.4
		14	800			764.6	22.8	20.5
			1200	30 0	31 12	764.7	22.2	22.0
			1600					24.1
			2000					22.0
			2400					22.0
		15	400			763.4	23.4	23.1
			800			763.2	23.2	22.4
			1200	31 36	33 6	763.0	24.6	22.5
			1600			762.1	23.5	22.6
			2000			762.2	23.0	22.4
			2400			762.4	22.3	21.5
		16	400			762.5	21.3	21.0
			800			763.0	21.6	20.1
			1200	33 2	35 30	764.2	22.8	20.4
			1600			764.6	22.0	21.2
			2000			765.9	21.5	21.1
			2400			766.1	21.2	20.8
		17	400			766.6	20.4	19.9
			800			768.0	20.5	20.0
			1200	34 27	37 32	768.6	21.2	19.8
			1600			768.5	20.5	20.4
			2000			769.3	19.7	19.5
			2400			769.6	19.8	19.0
		18	400			768.6	19.8	19.1
			800			769.0	19.4	19.5
			1200	35 51	39 40	769.4	20.1	19.4
			1600			768.7	19.9	19.3
			2000			768.8	19.0	19.2
			2400			767.7	19.0	18.9
		19	400			766.4	19.0	18.2
			800			765.2	19.3	18.5
			1200	36 42	42 4	764.1	18.7	19.2
			1600			761.6	18.5	18.1
			2000			759.0	21.0	16.7
			2400			757.0	17.3	17.2
		20	400			752.6	16.5	18.0
			800			754.3	18.0	18.0
			1200	36 12	41 22	753.0	19.8	18.4
			1600			754.4	18.8	
			2000			755.4	18.1	
			2400			755.4	18.0	
		21	400			756.5	18.0	18.0
			800			758.5	18.1	17.8
			1200	33 38	42 3	759.8	18.8	18.2
			1600			759.8	19.1	18.9
			2000			761.7	18.9	18.1
			2400			761.3	18.7	19.7
		22	400			760.2	18.2	19.4
			800			761.6	18.5	20.0
			1200	31 55	43 45	761.5	19.1	19.6
			1600			761.5	19.5	19.8
			2000			761.8	18.1	19.6
			2400			762.6	18.4	19.1
		23	400			762.5	18.9	18.9
			800			762.9	20.4	20.2
			1200	30 30	45 8	762.4	21.3	20.5
			1600			762.8	21.0	21.6
			2000			762.8	20.8	21.3
			2400			762.2	21.6	21.2
		24	400			762.2	22.0	21.0
			800			762.9	23.5	24.6
			1200	28 11	46 6	763.3	25.9	24.4
			1600			763.1	26.0	24.3
			2000			764.5	22.0	24.3
			2400			764.3	24.3	24.1
		25	400			764.2	22.9	23.9
			800			765.1	24.4	25.4
			1200	25 23	47 19	764.7	24.1	25.1
			1600			763.3	24.2	25.4
			2000			763.9	24.5	25.3
			2400			764.2	24.3	25.0
		26	400			763.4	23.9	23.3
			800			763.8	24.1	24.4
			1200	24 21	48 42	763.2	24.1	24.6
			1600					24.8
			2000					24.3
			2400					24.1
		27	400			763.0	24.5	24.5
			800			763.1	24.3	24.6
			1200	22 42	48 24	762.2	23.8	
			1600			762.2	25.0	24.3
			2000			764.0	24.8	25.4
			2400			763.7	23.8	25.3
		28	400			763.8	24.5	25.8
			800			765.0	24.5	25.0
			1200	21 24	49 24	765.0	24.1	24.2
			1600			764.3	24.3	25.7
			2000			766.0	24.0	25.6
			2400			765.4	23.3	25.2
		29	400			765.1	23.7	24.9
			800			766.6	24.6	25.5
			1200	19 36	49 50	766.6	24.9	25.8
			1600			765.3	24.8	25.8
			2000			766.0	24.3	25.4
			2400			766.0	24.3	25.4
		30	400			764.2	22.0	24.7
			800			766.8	21.5	24.8
			1200	"Tamatave, Madagascar"		766.0	24.0	
			1600			764.9	24.7	25.5
			2000			766.3	24.6	25.3
			2400			766.1	20.2	24.8
	6	3	400			766.8	24.3	24.6
			800			767.3	23.5	25.1
			1200	17 2	49 51	767.6	25.3	25.6
			1600			765.9	25.0	25.2
			2000			767.2	24.7	25.2
			2400			767.7	26.0	24.6
		4	400			765.0	24.6	24.3
			800			766.5	25.1	24.5
			1200	16 32	50 54	765.7	25.2	25.4
			1600			764.4	25.3	25.3
			2000			765.6	25.0	25.4
			2400			765.7	25.0	25.2
		5	400			765.0	24.8	25.1
			800			765.2	24.8	25.3
			1200	16 29	51 48	764.9	24.8	25.6
			1600			763.3	25.2	25.5
			2000			764.0	24.0	25.3
			2400			764.9	25.4	25.3
		6	400			764.8	23.8	25.2
			800			765.0	23.0	25.3
			1200	17 37	53 32	763.9	24.8	25.3
			1600			762.5	25.6	25.6
			2000			762.9	25.2	25.4
			2400			763.1	25.2	25.3
		7	400				24.6	25.3
			800			762.9	24.9	25.2
			1200	18 42	55 8	762.5	25.0	25.4
			1600			761.5	24.6	25.2
			2000			762.2	24.7	24.9
			2400			762.5	24.2	24.7
		8	400			761.6	23.4	24.1
			800			763.2	23.5	24.3
			1200	"Port Louis, Mauritius"		763.1	24.2	24.5
			1600			762.9	25.8	24.5
			2000			763.4	23.2	23.0
			2400			763.8	23.4	23.2
		13	1200	"Port Louis, Mauritius"		763.0	25.7	24.6
			1600			763.4	24.3	24.0
			2000			764.7	22.7	23.8
			2400			765.1	23.3	24.5
		14	400			764.9	22.4	24.4
			800			765.2	23.8	24.3
			1200	19 2	58 55	765.5	23.8	24.9
			1600			764.7		24.6
			2000					24.4
			2400					24.3
		15	400			765.9	23.5	
			800			767.8	24.0	25.2
			1200	19 6	61 33	767.2	24.3	25.4
			1600			767.6	23.4	25.5
			2000			767.3	22.9	25.4
			2400			767.1	23.0	25.1
		16	400			767.5	23.1	23.9
			800			768.1	21.5	24.0
			1200	"Mathurin-Bucht, Rodriguez"		767.8	23.0	24.0
			1600			767.0	22.8	23.2
			2000			768.0	21.1	23.2
			2400			767.6	22.1	23.0
		17	400			766.5	22.2	22.8
			800			767.4	21.8	23.1
			1200	"Mathurin-Bucht, Rodriguez"		766.1	22.9	23.6
			1600			764.9	22.8	23.4
