HMS EREBUS - VOYAGE TO SOUTHERN AND ANTARCTIC REGIONS								

YEAR	MONTH	DAY	LAT	LONG	MEAN TEMP	MEAN SST	MEAN 	
					F	F	BAROMETER	(corrected)
		12	53  12  	154  21   	44.70	42.60	29.777	
		13	54  56  	150  30   	42.50	39.00	29.473	
		14	56  20  	148  08   	41.00	36.60	29.322	
		15	57  06  	147  40   	37.50	35.40	29.380	
		16	58  36  	146  43   	35.60	33.10	29.486	First bergs seen (3 in total)
		17	61  03  	146  03   	31.80	31.00	29.683	
		18	62  50  	147  25   	30.60	28.50	29.883	
		19	63  23  	149  58   	31.10	28.80	29.965	
		20	63  47  	151  34   	27.70	29.40	29.901
		21	64  50  	153  23   	29.20	30.40	29.794
		22	65  30  	154  19   	27.70	29.30	29.837
		23	65  59  	155  44   	27.50	28.80	29.961
		24	65  58  	155 54   	29.90	29.20	29.990
		25	66  01  	156  11   	31.00	29.10	29.875
		26	66  09  	156  23   	28.70	28.50	29.559
		27	66  16  	156  29   	30.50	28.40	29.245
		28	66  20  	156  38   	32.30	28.80	29.185
		29	66  24  	156  09   	31.80	28.90	29.004
		30	66  31  	156  19   	33.80	28.80	29.047
		31	66  29  	156  49   	35.20	28.80	29.091
		Mean			38.48	37.63	29.665
					38.32	37.57	29.665
							
1842	1	1	66  32  	156  28   	32.30	28.20	29.315
		2	66  36  	156  28   	32.00	27.90	29.608
		3	66  34  	156  22   	31.10	28.00	29.797
		4	66  34  	156  13   	30.10	28.20	29.435
		5	66  15  	156  22   	31.20	28.60	29.432
		6	66  08  	155  57   	30.40	29.10	29.155
		7	66  13  	155  41   	30.10	28.60	28.650
		8	66  12  	155  27   	29.30	28.90	28.587
		9	66  04  	155  42   	28.00	28.30	28.968
		10	65  59  	155  50   	30.40	28.80	29.416
		11	65  58  	156  16   	29.50	28.50	29.572
		12	65  64  	156  30   	29.80	29.20	29.558
		13	66  11  	156  57   	30.80	28.50	29.456
		14	66  06  	157  12   	27.60	28.00	29.310
		15	66  02  	157  30   	26.20	27.80	29.343
