	"METEOROLOGICAL OBSERVATIONS, BY THE UNITED STATES EXPLORING EXPEDITION"														
	U.S. SHIP VINCENNES 														

Pg. 1															

															
YEAR	MONTH	DAY	HOUR	LAT	LONG	THERMOMETERS					WIND				
				North	West	Air	Water	Masthead	Barom	Hygrom	Direct	Force	 Clouds	Weather	Remarks
			Mean.			76.58	77.20	76.35	30.375						
						76.58	77.21	76.25	30.375						
		3	100			73.0	76.0				N. E.	4	Nimbi.	c.p.	Steering southward 
			200			74.0	76.0								and eastward
			300			75.0	76.0	75.0	30.450	75°60°				c.	
			400			74.0	76.0						Cirri.		
			500			75.0	78.0				E. N. E.				Spoke ship Sandra
			600			75.0	78.0				East.				bound to Liverpool
			700			75.0	78.0				E. N. E.				
			800			75.0	78.0				E. 1/2 S.				
			900			77.0	78.0	74.0	30.500	75°66°					
			1000			76.0	78.0								
			1100			75.0	78.0								
			1200	37 11	42 37	74.0	78.0								
			1300			75.0	78.0							b. c.	
			1400			75.0	78.0					4			
			1500			74.0	77.5		30.490	75° 60°					
			1600			74.0	77.5								
			1700			75.0	76.0				East.				
			1800			75.0	76.0				E. 1/2 S.				
			1900			74.0	77.0							b.	
			2000			74.0	76.0								
			2100			74.0	76.0	72.0	30.450	76° 64°					
			2200			74.0	76.0					3			
			2300			73.0	76.0								
			2400			74.0	76.0								
			Mean.			74.54	77.00	73.7	30.472						
						74.54	77.00	73.67	30.473						
		4	100			74.0	76.0				E. 1/2 S.	4		b	Steering to the south
			200			74.0	76.0								ward and eastward
			300			74.0	76.0	72.0	30.450	75° 65°		3			
			400			74.0	76.0						Cum.	c.	
			500			71.0	77.0								
			600			72.0	77.0								
			700			75.0	77.5								
			800			76.0	77.5							b.	
			900			80.0	76.0	81.0	30.500	75°65°					No current
			1000			81.0	77.0				E. N. E.				
			1100			78.0	76.0								
			1200	35 51	41 34	76.0	77.0								
			1300			76.0	78.0				E. by S.				
			1400			77.0	79.0								
			1500			77.0	78.0	76.0	30.380	77°70°					
			1600			79.0	79.0								
			1700			78.0	78.0								
			1800			78.0	78.0								
			1900			74.0	76.5								
			2000			75.0	76.0						Cum.	b. c.	
			2100			75.0	77.0		30.450	78° 65°		4			
			2200			74.0	77.0								
			2300			74.0	76.5								
			2400			74.0	76.5								
			Mean.			75.66	77.02	76.3	30.445						
						75.67	77.02	76.33	30.445						
		5	100			75.0	76.0				E. by S.	3	Cir. stra	b.	Steering to the north-
			200			74.0	76.0								ward and eastward.
			300			74.0	77.0	71.0	30.350	75°65°	SE by E.				
			400			74.0	77.0				E. S. E.				
			500			74.0	77.0				S.E. 1/2 E.				
			600			74.0	77.0								
			700			74.0	77.0					2			
			800			74.0	77.0				S. E.			b. c.	
			900			77.0	77.0	80.0	30.380	75° 64°					
			1000			78.0	78.0								
			1100			78.0	78.0								Passed a vessel; found
			1200	36 38	40 54	78.5	78.0								no perceptible current
			1300			81.0	78.0						Cirri.		
			1400			82.0	78.0				S. Ed.				
			1500			78.0	78.0	75.0	30.350	78° 60°					
			1600			78.0	78.0								
			1700			76.0	77.5					1			
			1800												
			1900			75.0	77.5				Ed.	2			
			2000			76.0	77.5								
			2100			75.0	77.0	72.3	30.350						
			2200			74.0	77.0					3			
			2300			74.0	75.0								
			2400			74.0	76.0								
			Mean.			78.14	77.21	74.6	30.357						
						75.98	77.15	74.58	30.358						
		6	100			75.0	75.0				Ed.	3	Cirri	b.	Steering to the southward
			200			75.0	75.0								and eastward
			300			75.0	75.0	74.0	30.280	77° 65°					
			400			75.0	75.0								
			500			75.0	76.0							b. c.	
			600			74.0	76.0								
			700			75.0	76.0								
			800			78.0	76.0								
			900			78.0	76.0	77.0	30.300	77° 63°	E. S. E.			b.	
			1000			78.0	76.0								
			1100			79.0	76.0						Cumuli	c.	
			1200	37 00	40 41										
			1300			79.0	77.0								
			1400			79.0	77.5					4			
			1500			78.0	77.5	82.0	30.290	80° 69°					
			1600			77.0	78.0								
			1700			77.0	77.0								
			1800			76.0	77.0					3			
			1900			76.0	77.0				S. E.	4			Course east by south.
			2000			75.0	76.0								
			2100			74.0	76.0	72.3	30.290	78° 68°					
			2200			75.0	76.0								
			2300			74.0	76.0								
			2400			75.0	76.0				South				
			Mean.			76.2	76.2	76.3	30.290						
						76.17	76.22	76.33	30.290						
		7	100			74.0	76.0				Sd	4	Cumuli.	c.	Course east by south
			200			73.0	76.0								
			300			73.0	76.0	71.0	30.150	78° 68°		6			
			400			74.0	76.0								
			500			74.0	77.0								
			600			74.0	77.0					4		c.u.	
			700			74.0	76.0								
			800			75.0	77.0								Spoke a brig from
			900			77.0	77.0	73.0	30.250	70° 66°					Rio de Janeiro for
			1000			78.0	77.0								Marseilles
			1100			78.0	77.0								
			1200	37 13	37 21	77.0	77.0					5			
			1300			79.0	78.0							c. q. p.	
			1400			79.0	78.0								
			1500			79.0	78.0	74.0	30.150	79° 65°					
			1600			77.0	78.0							c q.	
