	"VOYAGE AU POLE SUD ET DANS L'OCEANIE SUR LES CORVETTES L'ASTROLABE ET LA ZELEE, CAPT. M J DUMONT D'URVILLE"								

Pg. 2									

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	SIMPIESOMETER	AIR	SEA
								TEMP	TEMP
1837	9	8	400						
		26	400			762.8		24.5	26.5
			800	2 36	25 48	764.8		25.8	26.7
			1200			763.7		27.0	26.5
			1600			766.7		26.5	26.2
			2000	2 36	25 43	765.7		25.9	26.0
			2400			765.7		25.8	26.0
		27	400			763.8		25.4	25.6
			800	1 35	27 07	763.7		26.3	26.0
			1200			762.7		27.3	26.1
			1600			762.2		26.2	26.1
			2000	1 36	27 00	762.7		25.8	26.0
			2400			763.7		25.5	24.5
		28	400			762.8		25.2	25.7
			800	0 26	28 20	763.2		26.2	26.0
			1200			762.7		27.0	26.0
			1600			759.6		26.5	26.0
			2000	0 25	28 13	761.7		25.2	25.7
			2400			763.1		25.6	25.7
		29	400			760.8		25.2	25.8
			800	0 46 S	28 44	762.3		25.7	26.0
			1200			761.7		26.8	26.0
			1600			761.3		26.0	26.0
			2000	0 47	28 59	762.3		25.5	26.1
			2400			762.8		25.0	25.4
		30	400			763.8		25.2	25.5
			800	2 24	30 09	767.3		25.6	25.8
			1200			766.7		27.0	26.0
			1600			765.7		26.1	26.0
			2000	2 24	30 07	766.7		25.5	25.8
			2400			766.8		25.3	25.6
		31	400			764.8		24.0	25.7
			800	4 39	31 19	765.0		25.6	25.6
			1200			765.8		26.8	25.7
			1600			763.7		26.2	25.6
			2000	4 39	31 15	764.7		25.2	25.6
			2400			765.7		25.0	25.4
	11	1	400			762.7		24.6	25.0
			800	6 50	32 32	763.7		25.8	25.4
			1200			763.1		27.8	26.0
			1600			762.7		26.9	26.0
			2000	6 52	32 29	763.7		25.2	25.5
			2400			762.8		25.2	25.4
		2	400			761.8		25.0	25.3
			800	9 10	33 46	761.8		26.0	25.8
			1200			762.7		28.0	26.0
			1600			760.7		27.3	26.1
			2000	9 11	33 41	760.7		25.5	25.6
			2400			760.7		25.0	25.6
		3	400			759.8		25.0	25.5
			800	11 17	34 56	761.8		26.2	26.1
			1200			761.8		28.6	27.0
			1600			761.3		28.1	26.4
			2000	11 17	34 51	760.7		25.5	26.0
			2400			760.7		25.0	25.8
		4	400			761.7		24.8	25.6
			800	13 00	35 33	761.7		26.8	26.2
			1200			762.7		28.8	26.7
			1600			764.6		29.2	26.9
			2000	13 01	35 28	762.6		25.9	26.1
			2400			762.7		25.4	26.0
		5	400			760.7		25.0	26.0
			800	14 17	36 04	761.7		26.4	26.1
			1200			761.7		29.0	26.4
			1600			760.6		29.0	26.8
			2000	14 22	35 57	762.6		26.2	26.0
			2400			761.7		26.0	25.8
		6	400			761.7		25.4	25.6
			800	15 25	36 10	760.7		26.3	26.0
			1200			761.7		27.0	25.3
			1600			758.1		25.6	26.2
			2000	15 24	36 07	760.6		26.1	26.0
			2400			760.6		25.0	26.0
		7	400			758.7		25.6	26.0
			800	17 10	37 08	760.0		26.1	25.5
			1200			759.7		26.8	25.4
			1600			757.6		26.6	25.2
			2000	17 12	37 02	756.7		25.7	25.0
			2400			757.7		25.4	25.0
		8	400			755.7		24.8	24.0
			800	19 21	38 40	755.8		25.3	24.3
			1200			756.7		27.3	24.1
			1600			754.7		27.2	24.5
			2000	19 19	39 31	755.7		26.4	24.5
			2400			756.7		25.0	24.1
		9	400			756.8		24.5	24.0
			800	20 30	40 19	760.3		24.6	24.4
			1200			759.8		25.0	24.7
			1600			757.8		24.7	24.3
			2000	21 25	40 09	761.0		23.3	23.5
			2400			764.0		23.0	23.5
		10	400			763.0		22.6	23.6
			800	20 30	41 42	764.6		22.8	23.6
			1200			764.1		24.4	23.8
			1600			761.0		24.8	24.0
			2000	20 29	41 40	762.0		23.0	23.9
			2400			763.0		22.7	23.3
		11	400			761.0		22.4	23.6
			800	21 21	42 41	763.0		24.0	23.9
			1200			763.2		25.7	24.0
			1600			760.8		27.1	23.3
			2000	21 22	42 34	760.8		22.9	23.2
			2400			762.1		22.0	22.1
		12	400			759.1		22.5	21.4
			800	23 06	44 39	760.1		22.9	21.4
			1200			760.0		26.2	21.6
			1600			757.3		24.6	19.6
			2000	23 05	44 22	759.3		23.1	20.0
			2400			758.1		20.8	19.3
		13	400			757.3		20.0	19.3
			800			757.2		20.2	19.8
			1200			758.3		20.5	19.0
			1600			759.2		19.5	18.4
			2000			761.2		19.1	18.5
			2400						
		14	400			757.3		20.0	19.2
			800	23 14	45 37	759.3		20.3	19.1
			1200			759.3		21.8	21.0
			1600			761.3		22.1	21.2
			2000			760.8		21.2	20.2
			2400			761.3		21.4	21.0
		15	400			760.8		21.5	22.0
			800	24 45	46 32	760.3		22.9	23.2
			1200			761.3		26.2	23.9
			1600			760.8		24.8	24.0
			2000	24 44	46 27	761.3		22.2	23.4
			2400			761.3		22.3	22.8
		16	400			761.8		22.3	22.8
			800	26 38	47 30	759.9		23.8	22.4
			1200			762.0		26.0	24.8
			1600			761.0		24.2	23.7
			2000	26 37	47 21	761.4		21.9	23.6
			2400			763.0		21.0	22.2
		17	400			766.3		20.0	21.6
			800	27 25	48 43	767.8		20.2	21.2
			1200			767.3		21.8	21.5
			1600			765.2		21.4	21.1
			2000	27 25	48 41	766.2		19.3	21.3
			2400			765.6		18.9	21.8
		18	400			764.0		18.6	21.9
			800	29 09	49 50	763.5		20.8	21.0
			1200			763.5		24.4	22.0
			1600			760.5		25.1	21.9
			2000	29 08	49 44	758.5		24.6	21.0
			2400			757.4		21.3	20.0
		19	400			758.2		21.0	20.5
			800	31 24	50 46	758.2		20.7	20.1
			1200			758.2		21.5	20.7
			1600			767.3		20.0	20.5
			2000	31 25	50 43	765.0		18.2	20.2
			2400			765.3		17.3	20.2
		20	400			765.0		17.0	20.2
			800	31 42	51 43	765.6		17.9	19.3
			1200			767.6		21.5	19.2
			1600			764.4		21.2	19.4
			2000	31 42	51 44	763.5		18.9	20.0
			2400			764.5		17.7	19.3
		21	400			763.6		18.2	19.3
			800	32 54	52 00	763.6		19.3	19.8
			1200			763.5		20.3	20.8
			1600			762.7		21.0	21.4
			2000	32 53	51 57	764.2		20.9	21.0
			2400			762.3		19.3	21.0
		22	400			764.0		19.3	20.9
			800	34 14	52 41	761.8		20.8	20.8
			1200			762.7		22.6	20.8
			1600			762.0		23.0	19.2
			2000	34 14	52 48	760.2		20.4	19.1
			2400			759.3		20.2	18.8
		23	400			758.8		19.9	18.5
			800	36 08	54 29	758.5		19.4	19.0
			1200			758.6		25.4	19.6
			1600			758.1		24.8	18.1
			2000	36 09	54 38	757.8		19.8	15.2
			2400			754.6		16.4	13.5
		24	400			755.8		14.7	11.0
			800	37 17	56 16	752.8		15.5	11.0
			1200			753.8		15.0	11.1
			1600			756.7		16.1	12.0
			2000	37 16	56 15	758.2		9.9	9.9
			2400			760.6		10.3	10.2
		25	400			760.1		10.6	10.8
			800	38 15	56 00	760.0		14.5	17.2
			1200			759.3		16.7	15.3
			1600			759.0		12.9	9.1
			2000	38 16	55 59	759.3		12.6	11.0
			2400			761.0		11.0	10.8
		26	400			760.0		10.4	10.9
			800	39 48	55 36	762.1		12.0	12.7
			1200			762.8		12.9	12.5
			1600			764.0		13.9	11.7
			2000	39 45	55 44	763.7		13.0	11.0
			2400			762.3		12.0	11.0
		27	400			759.8		11.3	10.1
			800	40 33	56 21	756.6		12.9	10.4
			1200			754.6		16.2	14.0
			1600			752.6		15.3	9.9
			2000	40 35	56 22	758.1		15.0	14.0
			2400			758.7		13.0	13.4
		28	400			761.6		11.2	10.0
			800	40 45	55 54	759.2		11.8	10.0
			1200			760.8		12.9	11.0
			1600			762.8		13.5	10.8
			2000	40 46	55 54	764.1		12.5	11.5
