"METEOROLOGICAL OBSERVATIONS MADE ON BOARD THE  ""AURORA"", BETWEEN CAPE TOWN AND HOBART 1911 TO 1914"																							
Month/Year	Day	Hour	Lat	Long	Air pressure in inches corrected and reduced	Air temperature in deg. F.																	
			S	E																			
			°    '	°    '																			
				FIRST	SUBANTARCTIC	VOYAGE																	
		24			29.33	30.0
	21	4			29.32	30.0
		8			29.31	31.0
		12	65 29 	139 0	29.32	32.0
		16			29.31	31.0
		20			29.32	31.5
		24			29.21	31.0
	22	4			29.30	30.0
		8			29.32	35.0
		12	65 2	135 20	29.36	31.0
		16			29.36	31.5
		20			29.31	33.0
		24			29.42	31.0
	23	4			29.40	31.2
		8			29.45	32.0
		12	65 2	132 26	29.46	32.5
		16			29.49	32.2
		20			29.49	35.0
		24			29.46	28.0
	24	4			29.44	29.0
		8			29.44	31.5
		12	65 26	132 31	29.46	38.0
		16			29.47	34.0
		20			29.51	36.0
		24			29.49	34.0
	25	4			29.45	33.0
		8			29.48	33.0
		12	65 16.50	129 10	29.40	32.0
		16			29.39	33.0
		20			29.40	33.0
		24			29.35	32.0
	26	4			29.22	32.0
		8			29.15	32.5
		12	64 48	129 10	29.15	35.0
		16			29.23	34.8
		20			29.07	34.0
		24			29.03	34.0
	27	4			28.97	35.0
		8			28.95	33.0
		12	64 0	127 0	28.98	34.2
		16			29.07	33.1
		20			29.09	31.0
		24			29.10	31.0
	28	4			29.05	31.0
		8			29.11	32.5
		12	64 41	127 14	29.12	32.1
		16			29.15	30.8
		20			29.09	30.5
		24			29.05	31.0
	29	4			28.99	31.1
		8			28.95	31.2
		12	64 54	127 6	28.95	31.2
		16			29.02	31.8
		20			29.06	31.0
		24			29.09	31.0
	30	4			29.11	31.0
		8			29.12	31.0
		12	65 34	125 0	29.10	31.2
		16			29.07	33.2
		20			29.03	31.0
		24			29.01	30.0
	31	4			28.99	29.5
		8			28.98	30.0
		12	66 0	119 30	28.99	30.0
		16			28.96	29.0
		20			28.95	29.0
		24			28.92	29.0
February	1	4			28.94	31.0
		8			29.00	29.5
		12	64 49	115 57.50	29.06	34.0
		16			29.10	31.0
		20			29.18	31.0
		24			29.21	32.0
	2	4			29.25	32.0
		8			29.20	31.0
		12	65 9	111 42	29.25	30.2
		16			29.39	30.7
		20			29.43	30.5
		24			29.45	31.0
	3	4			29.47	29.8
		8			29.53	31.5
		12			29.53	32.0
		16			29.54	29.7
		20			29.54	31.0
		24			29.56	28.0
	4	4			29.60	28.7
		8			29.63	30.5
		12	65 38	108 36	29.66	32.0
		16			29.69	28.0
		20			29.62	27.0
		24			29.70	27.0
	5	4			29.67	26.5
		8			29.63	27.0
		12	65 7	106 39	29.58	26.5
		16			29.58	28.2
		20			29.52	27.0
		24			29.55	27.0
	6	4			29.55	26.0
		8			29.59	27.0
		12	64 31	106 28	29.60	29.0
		16			29.65	28.0
		20			29.67	27.0
		24			29.69	27.5
	7	4			29.70	28.0
		8			29.70	31.0
		12	64 30	102 9	29.68	23.5
		16			29.67	24.5
		20			29.63	22.5
		24			29.61	24.0
	8	4			29.58	23.0
		8			29.58	23.0
		12	64 2	98 0	29.58	22.5
		16			29.56	22.5
		20			29.55	22.8
		24			29.54	30.5
	9	4			29.48	27.8
		8			29.39	28.0
		12	64 33	97 11	29.35	28.1
		16			29.31	28.0
		20			29.25	27.5
		24			29.21	26.0
	10	4			29.15	26.0
		8			29.15	25.5
		12	64 26	97 11	29.17	26.3
		16			29.15	25.0
		20			29.19	28.0
		24			29.24	27.0
	11	4			29.28	27.0
		8			29.31	29.5
		12	64 24	97 15	29.36	28.8
		16			29.38	27.5
		20			29.38	26.0
		24			29.38	28.0
	12	4			29.35	28.0
		8			29.35	24.0
		12	64 43	94 39	29.34	23.4
		16			29.34	22.0
		20			29.33	22.5
		24			29.33	24.0
	13	4			29.35	22.0
		8			29.35	24.5
		12	65 54.50	94 25	29.35	23.0
		16			29.39	25.0
		20			29.40	16.3
		24			29.42	12.0
	14	4			29.42	13.0
		8			29.44	20.0
		12	66 10	94 15	29.42	22.0
		16			29.39	23.0
		20			29.37	24.0
		24			29.33	23.0
	15	4			29.24	25.0
		8			29.18	27.0
		12	66 21	94 51	29.12	31.0
		16	Anchored at	Western Base	29.12	32.0
		20			29.14	28.0
		24			29.12	28.5
	16	4			29.14	28.5
		8			29.16	29.0
		12			29.15	30.0
		16			29.16	31.2
